station_name,start_count,start_member_count,start_casual_count,end_count,end_member_count,end_casual_count,avg_lat,avg_lng,type,public transportation
20th St & Virginia Ave NW,11222,6738,4484,12623,8162,4461,38.89472644059834,-77.04512711514226,Entertainment,Metro
21st & E St NW,9758,6204,3554,10059,6485,3574,38.89613390680491,-77.04661706777766,Entertainment,Bus
21st & I St NW,56609,40101,16508,61424,45257,16167,38.900717474413426,-77.04643634881859,Living,Bus
21st & M St NW,211,149,62,240,167,73,38.90534,-77.046774,Entertainment,
21st NW & E St NW,2,2,0,1,0,1,38.8961140441491,-77.04661488533019,Entertainment,Metro
21st St & Constitution Ave NW,10850,2633,8217,10693,3809,6884,38.8924584799774,-77.04656675224534,Work,Metro
21st St & G st NW,46656,31666,14990,47142,32255,14887,38.89830698010317,-77.04689620728996,Entertainment,Bus
21st St & N Pierce St,8914,6331,2583,7074,5050,2024,38.89898460137974,-77.0783091351858,Work,Bus
21st St & Pennsylvania Ave NW,26843,18543,8300,30184,21069,9115,38.901542274576585,-77.04657569872884,Work,Metro
22nd & H St NW,33811,24039,9772,35027,25029,9998,38.898938968310674,-77.04884451931161,Entertainment,
22nd & I St NW / Foggy Bottom,62200,44729,17471,63801,44581,19220,38.9008972548466,-77.0488937392966,Entertainment,
22nd & P ST NW,60744,41066,19678,62216,42899,19317,38.90939038902578,-77.04872624098311,Living,Metro
22nd St & Constitution Ave NW,27153,9446,17707,26166,10419,15747,38.892442268297636,-77.04894437203109,Entertainment,Metro
23rd & E St NW ,33651,23175,10476,33414,22727,10687,38.896107859166754,-77.04986325098236,Entertainment,
23rd & M St NW,76204,50517,25687,86050,57964,28086,38.9053056120256,-77.05025609532224,Living,
23rd St S & Hayes St,5829,4067,1762,5713,3942,1771,38.85299959734172,-77.05949662248958,Work,Metro
24th & N St NW,33622,23951,9671,35227,24958,10269,38.90659922158498,-77.05149454774028,Living,Metro
24th & R St NE / National Arboretum,15133,5895,9238,15024,6044,8980,38.91263020094623,-76.97193817794965,Work,Metro
24th St & Rhode Island Ave NE,755,445,310,762,432,330,38.93078563315633,-76.97285606291902,Work,Metro
25th & S St SE ,142,100,42,152,110,42,38.86824152794249,-76.97205135331338,Entertainment,
25th St & Pennsylvania Ave NW,64719,44784,19935,66980,46543,20437,38.90382941652133,-77.05347820640822,Work,Bus
28th St & S Meade St,6432,3357,3075,6992,3579,3413,38.846235373329804,-77.06927834149866,Work,
2nd & G St NE,49950,35100,14850,51901,36755,15146,38.89966900154689,-77.00364418619942,Work,Metro
2nd & V St SW / James Creek Marina,15030,7545,7485,15885,7756,8129,38.863746428341585,-77.0138125397902,Entertainment,Bus
2nd St & Massachusetts Ave NE,55345,36090,19255,55128,34964,20164,38.894974071174104,-77.00313941022523,Work,Metro
2nd St & Seaton Pl NE,22014,15203,6811,20786,14475,6311,38.914741561123066,-77.00356370221525,Work,Bus
3000 Connecticut Ave NW / National Zoo,23375,15452,7923,20204,12960,7244,38.93029078227557,-77.05559205271081,Work,Metro
31st & Water St NW,4452,1319,3133,6119,2056,4063,38.90279961825078,-77.06105486749156,Living,Bus
31st St & S Woodrow St,1654,806,848,1238,603,635,38.837832204342085,-77.09366880714165,Entertainment,Bus
33rd St & Wisconsin Ave NW,3019,1822,1197,3214,1743,1471,38.91219294198031,-77.06606013512419,Entertainment,Metro
34th & Water St NW,38845,17131,21714,49783,21313,28470,38.903723931284524,-77.06753534218197,Work,
34th St & Minnesota Ave SE,179,120,59,166,99,67,38.883842148462755,-76.95751439624767,Living,
34th St & Wisconsin Ave NW,29987,19711,10276,29422,19037,10385,38.9164556630568,-77.06820265373003,Entertainment,Bus
36th & Calvert St NW / Glover Park,15477,8657,6820,11031,6023,5008,38.92258815863337,-77.07031543007459,Work,Metro
37th & Ely Pl SE,452,190,262,433,173,260,38.883025023439885,-76.94975680991715,Living,Metro
37th & O St NW / Georgetown University,67901,44081,23820,67821,43190,24631,38.907793077741246,-77.0716307337851,Work,Bus
39th & Calvert St NW / Stoddert,26026,16174,9852,19323,12640,6683,38.922643249777046,-77.07723720650051,Entertainment,Bus
39th & Veazey St NW,12296,8644,3652,8604,6073,2531,38.943829805680004,-77.07706037531312,Living,
39th St & Tunlaw Rd NW,2594,1573,1021,2504,1573,931,38.925676608636465,-77.07909291195566,Entertainment,Bus
3rd & D St SE,34373,23856,10517,34134,23490,10644,38.88510708107967,-77.0022958712466,Work,Bus
