start_station_name,casual_count,member_count
12th & Irving St NE,4078,6676
Wilson Blvd & N Franklin Rd,3823,6578
Eads St & 22nd St S,5328,6561
King St Metro North / Cameron St,5174,6470
Central Library / Quincy St & 10th St N,3134,6449
Army Navy Dr & S Joyce St,4845,6436
N Veitch St & 20th St N,4120,6393
11th & V st NW,2378,6385
19th St N & Ft Myer Dr,3019,6382
7th & Monroe St NE,4477,6376
S Glebe Rd & Potomac Ave,4876,6348
18th & C St NW,11229,6345
Fairfax Dr & N Randolph St,4372,6339
21st St & N Pierce St,2583,6331
Main Line Blvd & E Glebe,4207,6300
14th & D St NW / John A Wilson Building,4805,6217
21st & E St NW,3554,6204
19th St & Constitution Ave NW,23701,6192
11th & H St NE,3033,6179
Connecticut Ave & Newark St NW / Cleveland Park,3124,6120
John McCormack Dr & Michigan Ave NE,3434,5975
Wilson Blvd & N Troy St,3696,5910
24th & R St NE / National Arboretum,9238,5895
Arlington Blvd & Ft Myer Dr,4325,5721
Wisconsin Ave & Rodman St NW,2758,5713
Kingman Island/The Fields at RFK,4106,5699
Connecticut Ave & Yuma St NW,4349,5686
9th & N St NW ,2979,5672
Pentagon Row Plaza / Army Navy Dr & Joyce St,3728,5651
Gallaudet / 8th St & Florida Ave NE,3335,5650
10th St & Spring Rd NW,2556,5629
Wilson Blvd & Ft Myer Dr,2953,5571
Ward Circle / American University,4953,5511
Connecticut Ave & McKinley St NW,2442,5432
East Falls Church Metro / Sycamore St & 19th St N,5318,5421
Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,2760,5421
Woodmont Ave & Strathmore St,5478,5384
Trinidad Rec Center,3366,5346
5th & Kennedy St NW,3592,5337
Anacostia Ave & Benning Rd NE / River Terrace ,3806,5333
Langston Blvd & N Scott St,2695,5242
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,3894,5186
Prince St & Union St,10354,5126
1st & N St  SE,4858,5121
1st & Q St SW,2856,5111
Capitol Ave & Kendall St NE,1819,4997
Eastern Market Metro / Pennsylvania Ave & 7th St SE,3403,4990
Waterfront Park,2998,4879
Oklahoma Ave & Benning Rd NE,2635,4817
Anacostia Park,6587,4709
14th St Heights / 14th & Crittenden St NW,2785,4698
John McCormack Rd NE,2969,4690
Potomac Ave & Swann Ave,5145,4677
Mt Vernon Trail & S. Washington St.,8835,4657
Carlin Springs Rd & N Thomas St,1856,4647
Arlington Blvd & Fairfax Dr,2948,4601
